name	faculty
COMPUTER ENGINEERING	03
CLINICAL INVESTIGATOR PROGRAMME-PSYCHIATRY	23
TRAUMA SURGERY	23
H CULTURAL STUDIES & CRITICAL THEORY & THEATRE & FILM ST	14
HONOURS ECONOMICS & GEOGRAPHY	15
HONOURS COMMUNICATION STUDIES & LABOUR STUDIES	15
HONOURS BIOLOGY & MATHEMATICS	02
JUSTICE, POLITICAL PHILOSOPHY AND LAW	14
HONOURS ENGLISH & THEATRE & FILM STUDIES	14
HONOURS PHILOSOPHY & THEATRE & FILM STUDIES	14
HONOURS LABOUR STUDIES	15
HON PSYCHOLOGY-NEUROSCI & BEHAVIOUR (ORIGINS RESEARCH SPEC)	02
COMPUTING AND INFORMATION TECHNOLOGY (B.TECH)	03
PROCESS AUTOMATION TECHNOLOGY	03
HONOURS INTEGRATED SCIENCE (EARTH & ENVIRONMENTAL SCIENCE)	02
CREDIT OUTSIDE MCMASTER	06
HONOURS MATHEMATICS & PHYSICS	02
HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR (B.Sc.) - MENTAL HEALTH SPECIALIZATION	02
HONOURS RELIGIOUS STUDIES & THEATRE & FILM STUDIES	14
HONOURS ART & ECONOMICS	14
IRREGULAR	03
HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR	02
HONOURS GEOGRAPHY	15
HONOURS ARTS & SCIENCE & BIOLOGY	07
GASTROENTEROLOGY/PEDIATRICS	23
NURSING - MOHAWK SITE	24
MEDICAL RADIATION SCIENCES - ULTRASONOGRAPHY SPECIALIZATION	02
AUTOMOTIVE & VEHICLE TECHNOLOGY	03
HONOURS LINGUISTICS & PSYCHOLOGY	14
HONOURS POLITICAL SCIENCE	15
HONOURS HISTORY & LINGUISTICS	14
HONOURS ANTHROPOLOGY & THEATRE & FILM STUDIES	14
HONOURS BUSINESS INFORMATICS	03
HONOURS ARTS & SCIENCE & RELIGIOUS STUDIES	07
HONOURS GERONTOLOGY & POLITICAL SCIENCE	15
PEDIATRIC NEUROLOGY	23
LIFE SCIENCES 1	02
SOFTWARE ENGINEERING (EMBEDDED SYSTEMS)	03
PEDIATRIC CRITICAL CARE	23
CHEMICAL ENGINEERING & BIOENGINEERING CO-OP	03
HONOURS CULTURAL STUDIES & CRITICAL THEORY & POLITICAL SCI	14
FAMILY MED - CARE OF THE ELDERLY	23
CONTINUING	14
HONOURS BIOLOGY & PHARMACOLOGY (CO-OP)	02
HONOURS FRENCH & LINGUISTICS	14
CREDIT OUTSIDE MCMASTER	02
HONOURS ART HISTORY & CLASSICS	14
MECHATRONICS ENGINEERING & SOCIETY	03
HONOURS MEDICAL & HEALTH PHYSICS	02
NEONATOLOGY/PERINATOLOGY	23
HONOURS SOCIAL PSYCHOLOGY	15
HONOURS ANTHROPOLOGY & GEOGRAPHY	15
HONOURS CULTURAL STUDIES & CRITICAL THEORY & ANTHROPOLOGY	14
CIVIL ENGINEERING	03
HONOURS MULTIMEDIA & PSYCHOLOGY	14
CLINICAL INVESTIGATOR PROGRAMME-HEMATOLOGY	23
HONOURS ARTS & SCIENCE & CHEMISTRY	07
HONOURS LINGUISTICS & THEATRE & FILM STUDIES	14
MECHATRONICS ENGINEERING & MANAGEMENT CO-OP	03
HONOURS PHYSICS (BIOPHYSICS SPECIALIZATION)	02
HONOURS HEALTH STUDIES & GERONTOLOGY	15
HONOURS ENGLISH & PHILOSOPHY	14
HONOURS FRENCH & LABOUR STUDIES	14
EXCHANGE STUDENT	03
HONOURS CLASSICS & ANTHROPOLOGY	14
FAMILY MEDICINE RURAL - BRAMPTON	23
HONOURS ENGLISH & PSYCHOLOGY	14
HONOURS FRENCH & THEATRE & FILM STUDIES	14
ECONOMICS	15
HONOURS COMMUNICATION STUDIES & ANTHROPOLOGY	15
HONOURS ART & CLASSICS	14
HONOURS ART	14
HONOURS GERONTOLOGY	15
CREDIT OUTSIDE MCMASTER	03
HONOURS GERONTOLOGY & ANTHROPOLOGY	15
HONOURS PHILOSOPHY & ECONOMICS	14
HONOURS COGNITIVE SCIENCE OF LANGUAGE & SOCIOLOGY	14
CLINICAL INVESTIGATOR PROGRAMME-CARDIAC SURGERY	23
ELECTRICAL ENGINEERING & MANAGEMENT	03
HONOURS HISTORY & POLITICAL SCIENCE	14
HONOURS HISTORY	14
HONOURS CLASSICS & RELIGIOUS STUDIES	14
DIVINITY COLLEGE CERTIFICATE OF CHRISTIAN STUDIES	13
FAMILY MEDICINE/RURAL - MOUNT FOREST	23
STUDIO ART I	14
HONOURS ARTS & SCIENCE & BIOCHEMISTRY	07
HONOURS ECONOMICS & SOCIOLOGY	15
EXCHANGE STUDENT	14
HONOURS BIOLOGY (ORIGINS RESEARCH SPECIALIZATION)	02
HONOURS MATHEMATICS & STATISTICS CO-OP	02
HONOURS ART HISTORY	14
HONOURS MATHEMATICS & STATISTICS CO-OP (MATHEMATICS SPEC)	02
HONOURS HEALTH STUDIES & THEATRE & FILM	15
NURSING (POST DIPLOMA REGISTERED PRACTICAL NURSE) -CONESTOGA	24
HONOURS ARTS & SCIENCE & CHEMICAL BIOLOGY	07
EXCHANGE STUDENT	15
HONOURS PHILOSOPHY & BIOLOGY	14
HONOURS HEALTH STUDIES & POLITICAL SCIENCE	15
HONOURS ARTS & SCIENCE & LINGUISTICS	07
HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR (B.A.) - MENTAL HEALTH SPECIALIZATION	15
CHEMICAL ENGINEERING & BIOENGINEERING	03
COMMUNITY MEDICINE	23
MATERIALS ENGINEERING & SOCIETY CO-OP	03
ENGINEERING PHYSICS CO-OP	03
HONOURS ENGLISH & MUSIC	14
HONOURS CULTURAL STUDIES & CRITICAL THEORY & SOCIOLOGY	14
HONOURS MULTIMEDIA & THEATRE & FILM STUDIES	14
PSYCHOLOGY & SOCIAL WORK	15
EXCHANGE STUDENT	06
ENGINEERING PHYSICS & SOCIETY CO-OP	03
HONOURS LABOUR STUDIES & ECONOMICS	15
HONOURS ECONOMICS & PSYCHOLOGY	15
HONOURS PHILOSOPHY & SOCIOLOGY	14
HONOURS FRENCH & MULTIMEDIA	14
NEUROSURGERY	23
ELECTRICAL BIOMEDICAL ENGINEERING CO-OP	03
HONOURS MOLECULAR BIOLOGY & GENETICS	02
HONOURS INTEGRATED SCIENCE	02
HONOURS ARTS & SCIENCE & MOLECULAR BIOLOGY & GENETICS	07
CHEMICAL ENGINEERING & MANAGEMENT CO-OP	03
TECHNOLOGY 1	03
HONOURS COMMUNICATION STUDIES & ENGLISH	14
MEDICAL BIOCHEMISTRY	23
FAMILY MEDICINE - OBSTETRICS	23
HONOURS COMMUNICATION STUDIES & THEATRE & FILM STUDIES	14
HONOURS PHILOSOPHY & POLITICAL SCIENCE	14
CIVIL ENGINEERING & INTERNATIONAL STUDIES	03
ENVIRONMENTAL & EARTH SCIENCES 1	02
MECHATRONICS ENGINEERING	03
HONOURS ANTHROPOLOGY & ECONOMICS	15
HONOURS ARTS & SCIENCE & ECONOMICS	07
HONOURS GEOGRAPHY & POLITICAL SCIENCE	15
COMPUTER ENGINEERING & SOCIETY CO-OP	03
ARTS & SCIENCE 1	07
HONOURS COGNITIVE SCIENCE OF LANGUAGE & ENGLISH	14
HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR	15
HONOURS COMPUTER SCIENCE CO-OP B.A.SC. AS A SECOND DEGREE	03
INTERNAL MEDICINE	23
PSYCHIATRY-WATERLOO/WELLINGTON	23
HONOURS ARTS & SCIENCE & PHILOSOPHY	07
CIVIL ENG & INTL ST-STRUCTURAL/GEOTECHNICAL ENG STREAM CO-OP	03
HONOURS FRENCH & MUSIC	14
MECHATRONICS ENGINEERING & MANAGEMENT	03
PHYSICAL SCIENCES	02
SOCIOLOGY & SOCIAL WORK	15
CIVIL ENGINEERING & SOCIETY CO-OP	03
HONOURS CLASSICS & PHILOSOPHY	14
HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR-MUSIC COGNITION	02
HONOURS ENGLISH & PEACE STUDIES	14
HONOURS ART STUDIO	14
INDIGENOUS STUDIES & SOCIOLOGY	15
ENGLISH & SOCIAL WORK	14
HONOURS POLITICAL SCIENCE & SOCIOLOGY	15
OBSTETRICS & GYNECOLOGY	23
HONOURS COMMUNICATION STUDIES	14
CIVIL ENGINEERING CO-OP	03
HONOURS COMMUNICATION STUDIES & POLITICAL SCIENCE	15
EMERGENCY MEDICINE/NIAGARA	23
HONOURS COMPUTER SCIENCE CO-OP	03
MECHANICAL ENGINEERING CO-OP	03
HONOURS COMMUNICATION STUDIES & PHILOSOPHY	14
RELIGIOUS STUDIES	15
COMPUTER ENGINEERING & MANAGEMENT CO-OP	03
HONOURS KINESIOLOGY	02
HONOURS BIOCHEMISTRY (CO-OP) BIOTECHNOLOGY	02
PLASTIC SURGERY	23
MATERIALS ENGINEERING - NANOMATERIALS STREAM	03
HUMANITIES	14
HONOURS GERONTOLOGY & COGNITIVE SCIENCE OF LANGUAGE	15
CRITICAL CARE	23
CONTINUING	04
MECHATRONICS ENGINEERING & SOCIETY CO-OP	03
HONOURS HEALTH STUDIES & SOCIOLOGY	15
LIFE SCIENCES	02
FAMILY MEDICINE - NIAGARA	23
HONOURS CULTURAL STUDIES & CRITICAL THEORY & RELIGIOUS	14
FRENCH	14
GEOGRAPHY & SOCIAL WORK	15
MATERIALS ENGINEERING & MANAGEMENT	03
SOFTWARE ENGINEERING (EMBEDDED SYSTEMS) CO-OP	03
CHEMICAL ENGINEERING & INTERNATIONAL STUDIES CO-OP	03
HONOURS COMPUTER SCIENCE	03
HONOURS ARTS & SCIENCE & PHYSICS	07
FAMILY MEDICINE RURAL - KITCHENER/WATERLOO	23
SOFTWARE ENGINEERING & MANAGEMENT CO-OP	03
BIOTECHNOLOGY	03
HONOURS ENGLISH	14
HONOURS HISTORY & PHILOSOPHY	14
POLITICAL SCIENCE	15
HONOURS LINGUISTICS	14
CIVIL ENGINEERING INFRASTRUCTURE TECHNOLOGY (B.TECH)	03
HONOURS COMMUNICATION STUDIES & PEACE STUDIES	14
MEDICINE	21
OCCASIONAL	13
KINESIOLOGY GENERAL	02
HONOURS COGNITIVE SCIENCE OF LANGUAGE	14
HONOURS LIFE SCIENCE (ORIGINS RESEARCH SPECIALIZATION)	02
FAMILY MEDICINE - SPORTS MEDICINE	23
HONOURS GEOGRAPHY & SOCIOLOGY	15
MANUFACTURING ENGINEERING TECHNOLOGY	03
ENGINEERING 1 CO-OP	03
HONOURS HISTORY & RELIGIOUS STUDIES	14
ANTHROPOLOGY & SOCIAL WORK	15
HONOURS ENGLISH & RELIGIOUS STUDIES	14
HONOURS ART HISTORY & ENGLISH	14
IRREGULAR	05
MECHANICAL ENGINEERING AND MANAGEMENT CO-OP	03
HONOURS ENGLISH & SOCIOLOGY	14
MATHEMATICAL SCIENCE	02
HONOURS MATHEMATICS & PHILOSOPHY	14
CLINICAL INVESTIGATOR PROGRAMME-RHEUMATOLOGY	23
MASTER THEOLOGICAL STUDIES	13
EMERGENCY MEDICINE-FAMILY MEDICINE/ROMP	23
HONOURS BUSINESS INFORMATICS CO-OP	03
CLINICAL INVESTIGATOR PROGRAMME-MEDICAL ONCOLOGY	23
MATHEMATICS & STATISTICS 1	02
INFECTECTIOUS DISEASE/INTERNAL MEDICINE	23
ENGLISH	14
ENGINEERING 1	03
HONOURS BIOCHEMISTRY	02
ENGINEERING PHYSICS	03
MATERIALS ENGINEERING - NANOMATERIALS STREAM CO-OP	03
HONOURS CHEMICAL BIOLOGY	02
HONOURS CULTURAL STUDIES & CRITICAL THEORY & PEACE STUDIES	14
HONOURS HISTORY & ANTHROPOLOGY	14
HEALTH STUDIES & SOCIAL WORK	15
NURSING (POST RN)	05
THORACIC SURGERY	23
CLINICAL CHEMISTRY	23
HISTORY & SOCIAL WORK	14
ENGINEERING PHYSICS & SOCIETY	03
HONOURS MATHEMATICS & STATISTICS	02
HEALTH, AGING & SOCIETY	15
HONOURS COGNITIVE SCIENCE OF LANGUAGE & CLASSICS	14
HONOURS MULTIMEDIA & SOCIOLOGY	14
SOFTWARE ENGINEERING & SOCIETY CO-OP	03
TRANSFUSION MEDICINE	23
HONOURS ARTS & SCIENCE & GEOGRAPHY	07
HONOURS COMMUNICATION STUDIES & PSYCHOLOGY	15
SOFTWARE ENGINEERING	03
GERIATRIC MEDICINE	23
HEALTH STUDIES	15
HONOURS ARTS & SCIENCE & HISTORY	07
ELECTRICAL ENGINEERING CO-OP	03
CLINICAL INVESTIGATOR PROGRAMME-NEUROLOGY	23
CHEMICAL ENGINEERING	03
SCIENCE	02
HONOURS ENGLISH & HISTORY	14
MECHANICAL ENGINEERING & MANAGEMENT	03
HONOURS BIOLOGY & ENVIRONMENTAL SCIENCES	02
RHEUMATOLOGY/INTERNAL MEDICINE	23
HONOURS LABOUR STUDIES & ANTHROPOLOGY	15
HONOURS ART & MULTIMEDIA	14
HONOURS PHYSICS (ASTROPHYSICS SPECIALIZATION)	02
HONOURS CULTURAL STUDIES & CRITICAL THEORY & ENGLISH	14
HONOURS FRENCH & MATHEMATICS	14
COMPUTER SCIENCE 1 CO-OP	03
HONOURS BIOLOGY & PSYCHOLOGY	02
HONOURS INTEGRATED SCIENCE (BIOCHEMISTRY)	02
HONOURS BACHELOR OF HEALTH SCIENCES	04
CREDIT OUTSIDE MCMASTER	14
H COMMUNICATION STUDIES(CULTURAL STUDIES/MASS COMMUNICATION)	14
PHYSICAL MEDICINE & REHABILITATION	23
HONOURS THEATRE & FILM STUDIES	14
HONOURS ARTS & SCIENCE & ORIGINS	07
CIVIL ENG STRUCTURAL/GEOTECHNICAL ENGINEERING STREAM CO-OP	03
POST DIPLOMA REGISTERED PRACTICAL NURSE TO BSCN	05
SOCIAL WORK	15
EMERGENCY MEDICINE	23
HONOURS PEACE STUDIES & RELIGIOUS STUDIES	14
HONOURS HISTORY & THEATRE & FILM STUDIES	14
MATERIALS ENGINEERING	03
HONOURS BIOCHEMISTRY - BIOMEDICAL RESEARCH SPECIALIZATION	02
SOCIOLOGY	15
MASTER DIVINITY	13
SOFTWARE ENGINEERING & MANAGEMENT	03
HISTORY	14
HONOURS ARTS & SCIENCE & ART (STUDIO)	07
MATERIALS ENGINEERING & SOCIETY	03
