target	source	value
ANAESTHESIOLOGY	ANAESTHESIOLOGY	30
ANATOMICAL PATHOLOGY	ANATOMICAL PATHOLOGY	10
ANTHROPOLOGY	ANTHROPOLOGY	20
BUSINESS 1	ANTHROPOLOGY	2
CONTINUING	ANTHROPOLOGY	2
HONOURS ANTHROPOLOGY	ANTHROPOLOGY	5
HUMANITIES	ANTHROPOLOGY	2
SOCIAL SCIENCES	ANTHROPOLOGY	3
SOCIAL SCIENCES 1	ANTHROPOLOGY	11
SOCIOLOGY	ANTHROPOLOGY	2
ANTHROPOLOGY & SOCIAL WORK	ANTHROPOLOGY & SOCIAL WORK	2
SOCIAL SCIENCES 1	ANTHROPOLOGY & SOCIAL WORK	4
ART HISTORY	ART HISTORY	8
HUMANITIES 1	ART HISTORY	4
AUTOMOTIVE & VEHICLE TECHNOLOGY	AUTOMOTIVE & VEHICLE TECHNOLOGY	151
TECHNOLOGY 1	AUTOMOTIVE & VEHICLE TECHNOLOGY	54
BIOTECHNOLOGY	BIOTECHNOLOGY	88
TECHNOLOGY 1	BIOTECHNOLOGY	33
BUSINESS 1	BUSINESS 1	18
CARDIAC SURGERY	CARDIAC SURGERY	4
CARDIOLOGY/INTERNAL MEDICINE	CARDIOLOGY/INTERNAL MEDICINE	16
INTERNAL MEDICINE	CARDIOLOGY/INTERNAL MEDICINE	2
CHEMICAL ENGINEERING	CHEMICAL ENGINEERING	31
CHEMICAL ENGINEERING CO-OP	CHEMICAL ENGINEERING	4
ENGINEERING 1	CHEMICAL ENGINEERING	12
CHEMICAL ENGINEERING & BIOENGINEERING	CHEMICAL ENGINEERING & BIOENGINEERING	14
CHEMICAL ENGINEERING & BIOENGINEERING CO-OP	CHEMICAL ENGINEERING & BIOENGINEERING	5
ENGINEERING 1	CHEMICAL ENGINEERING & BIOENGINEERING	5
CHEMICAL ENGINEERING & BIOENGINEERING	CHEMICAL ENGINEERING & BIOENGINEERING CO-OP	4
CHEMICAL ENGINEERING & BIOENGINEERING CO-OP	CHEMICAL ENGINEERING & BIOENGINEERING CO-OP	57
ENGINEERING 1	CHEMICAL ENGINEERING & BIOENGINEERING CO-OP	3
ENGINEERING 1 CO-OP	CHEMICAL ENGINEERING & BIOENGINEERING CO-OP	17
CHEMICAL ENGINEERING & MANAGEMENT	CHEMICAL ENGINEERING & MANAGEMENT	3
CHEMICAL ENGINEERING & MANAGEMENT CO-OP	CHEMICAL ENGINEERING & MANAGEMENT CO-OP	36
ENGINEERING 1	CHEMICAL ENGINEERING & MANAGEMENT CO-OP	2
ENGINEERING 1 CO-OP	CHEMICAL ENGINEERING & MANAGEMENT CO-OP	4
CHEMICAL ENGINEERING & SOCIETY	CHEMICAL ENGINEERING & SOCIETY	2
CHEMICAL ENGINEERING & SOCIETY CO-OP	CHEMICAL ENGINEERING & SOCIETY CO-OP	21
ENGINEERING 1 CO-OP	CHEMICAL ENGINEERING & SOCIETY CO-OP	14
CHEMICAL ENGINEERING	CHEMICAL ENGINEERING CO-OP	11
CHEMICAL ENGINEERING & BIOENGINEERING CO-OP	CHEMICAL ENGINEERING CO-OP	3
CHEMICAL ENGINEERING CO-OP	CHEMICAL ENGINEERING CO-OP	136
