target	source	value
ARTS & SCIENCE 1	NULL	2
ARTS & SCIENCE 1	HONOURS ARTS & SCIENCE	35
ARTS & SCIENCE 1	HONOURS ARTS & SCIENCE & BIOLOGY	1
ARTS & SCIENCE 1	HONOURS ARTS & SCIENCE & ECONOMICS	1
ARTS & SCIENCE 1	HONOURS ARTS & SCIENCE & ENGLISH	1
ARTS & SCIENCE 1	HONOURS ARTS & SCIENCE & ENVIRONMENTAL SCIENCE	2
ARTS & SCIENCE 1	HONOURS ARTS & SCIENCE & FRENCH	3
ARTS & SCIENCE 1	HONOURS ARTS & SCIENCE & HISTORY	1
ARTS & SCIENCE 1	HONOURS ARTS & SCIENCE & MULTIMEDIA	1
ARTS & SCIENCE 1	HONOURS ARTS & SCIENCE & LINGUISTICS	1
ARTS & SCIENCE 1	HONOURS ARTS & SCIENCE & MATHEMATICS	2
ARTS & SCIENCE 1	HONOURS ARTS & SCIENCE & MOLECULAR BIOLOGY & GENETICS	4
ARTS & SCIENCE 1	HONOURS ARTS & SCIENCE & ORIGINS	4
ARTS & SCIENCE 1	HONOURS ARTS & SCIENCE & POLITICAL SCIENCE	3
ARTS & SCIENCE 1	HONOURS ARTS & SCIENCE & PSYCHOLOGY	6
COMPUTER SCIENCE 1	NULL	8
COMPUTER SCIENCE 1	COMPUTER SCIENCE 1	1
COMPUTER SCIENCE 1	ENGINEERING 1	1
COMPUTER SCIENCE 1	HONOURS BUSINESS INFORMATICS	1
COMPUTER SCIENCE 1	HONOURS BUSINESS INFORMATICS CO-OP	1
COMPUTER SCIENCE 1	HONOURS COMPUTER SCIENCE	4
COMPUTER SCIENCE 1	HONOURS COMPUTER SCIENCE CO-OP	7
COMPUTER SCIENCE 1 CO-OP	NULL	3
COMPUTER SCIENCE 1 CO-OP	HONOURS MATHEMATICS & STATISTICS	1
COMPUTER SCIENCE 1 CO-OP	HONOURS BUSINESS INFORMATICS	1
COMPUTER SCIENCE 1 CO-OP	HONOURS BUSINESS INFORMATICS CO-OP	4
COMPUTER SCIENCE 1 CO-OP	HONOURS COMPUTER SCIENCE CO-OP	28
COMPUTER SCIENCE 1 CO-OP	IRREGULAR	2
ENVIRONMENTAL & EARTH SCIENCES 1	NULL	10
ENVIRONMENTAL & EARTH SCIENCES 1	ENVIRONMENTAL & EARTH SCIENCES 1	9
ENVIRONMENTAL & EARTH SCIENCES 1	HUMANITIES 1	1
ENVIRONMENTAL & EARTH SCIENCES 1	ENVIRONMENTAL SCIENCES	8
ENVIRONMENTAL & EARTH SCIENCES 1	LIFE SCIENCES	8
ENVIRONMENTAL & EARTH SCIENCES 1	SCIENCE	7
ENVIRONMENTAL & EARTH SCIENCES 1	HONOURS ANTHROPOLOGY	1
ENVIRONMENTAL & EARTH SCIENCES 1	HONOURS BIOLOGY & ENVIRONMENTAL SCIENCES	3
ENVIRONMENTAL & EARTH SCIENCES 1	HONOURS BIOLOGY (ORIGINS RESEARCH SPECIALIZATION)	1
ENVIRONMENTAL & EARTH SCIENCES 1	HONOURS BIOLOGY	3
ENVIRONMENTAL & EARTH SCIENCES 1	HONOURS CHEMICAL BIOLOGY	1
ENVIRONMENTAL & EARTH SCIENCES 1	HONOURS CULTURAL STUDIES & CRITICAL THEORY & PEACE STUDIES	1
ENVIRONMENTAL & EARTH SCIENCES 1	COMMERCE	1
ENVIRONMENTAL & EARTH SCIENCES 1	HONOURS COMMUNICATION STUDIES & MULTIMEDIA	1
ENVIRONMENTAL & EARTH SCIENCES 1	HONOURS ENVIRONMENTAL SCIENCES	10
ENVIRONMENTAL & EARTH SCIENCES 1	HONOURS EARTH & ENVIRONMENTAL SCIENCES	6
ENVIRONMENTAL & EARTH SCIENCES 1	HONOURS GEOGRAPHY & ENVIRONMENTAL SCIENCES	5
ENVIRONMENTAL & EARTH SCIENCES 1	HONOURS PHYSICS (ORIGINS RESEARCH SPECIALIZATION)	1
ENVIRONMENTAL & EARTH SCIENCES 1	HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR	1
ENVIRONMENTAL & EARTH SCIENCES 1	HONOURS LIFE SCIENCES	10
ENVIRONMENTAL & EARTH SCIENCES 1	HONOURS LIFE SCIENCE (ORIGINS RESEARCH SPECIALIZATION)	1
INTEGRATED SCIENCE 1	NULL	2
INTEGRATED SCIENCE 1	LIFE SCIENCES 1	1
INTEGRATED SCIENCE 1	PHYSICAL SCIENCES 1	1
INTEGRATED SCIENCE 1	SCIENCE	1
INTEGRATED SCIENCE 1	HONOURS BIOCHEMISTRY - BIOMEDICAL RESEARCH SPECIALIZATION	1
INTEGRATED SCIENCE 1	HONOURS BACHELOR OF HEALTH SCIENCES	1
INTEGRATED SCIENCE 1	HONOURS INTEGRATED SCIENCE (BIOCHEMISTRY)	9
INTEGRATED SCIENCE 1	HONOURS INTEGRATED SCIENCE (BIOLOGY)	9
INTEGRATED SCIENCE 1	HONOURS INTEGRATED SCIENCE (BIOPHYSICS)	3
INTEGRATED SCIENCE 1	HONOURS INTEGRATED SCIENCE (CHEMISTRY)	1
INTEGRATED SCIENCE 1	HONOURS INTEGRATED SCIENCE (CHEMICAL BIOLOGY)	2
INTEGRATED SCIENCE 1	HONOURS INTEGRATED SCIENCE (EARTH & ENVIRONMENTAL SCIENCE)	2
INTEGRATED SCIENCE 1	HONOURS INTEGRATED SCIENCE (GEOGRAPHY&ENVIRO SCI CONCENTRATN	1
INTEGRATED SCIENCE 1	HONOURS INTEGRATED SCIENCE (MATHEMATICS & STATISTICS)	1
INTEGRATED SCIENCE 1	HONOURS INTEGRATED SCIENCE (PHYSICS)	2
INTEGRATED SCIENCE 1	HONOURS INTEGRATED SCIENCE (PSYCHOLOGY, NEUROSCIENCE & BEHAVIOUR))	4
INTEGRATED SCIENCE 1	HONOURS MATHEMATICS & STATISTICS (ORIGINS RESEARCH SPEC)	1
INTEGRATED SCIENCE 1	HONOURS MATHEMATICS & STATISTICS	1
HONOURS KINESIOLOGY 1	NULL	8
HONOURS KINESIOLOGY 1	HONOURS KINESIOLOGY 1	3
HONOURS KINESIOLOGY 1	LIFE SCIENCES 1	2
HONOURS KINESIOLOGY 1	KINESIOLOGY GENERAL	7
HONOURS KINESIOLOGY 1	RELIGIOUS STUDIES	1
HONOURS KINESIOLOGY 1	SCIENCE	4
HONOURS KINESIOLOGY 1	HONOURS BIOCHEMISTRY	1
HONOURS KINESIOLOGY 1	HONOURS BACHELOR OF HEALTH SCIENCES	1
HONOURS KINESIOLOGY 1	HONOURS KINESIOLOGY	183
LIFE SCIENCES 1	NULL	54
LIFE SCIENCES 1	COMPUTER SCIENCE 1	2
LIFE SCIENCES 1	HONOURS KINESIOLOGY 1	2
LIFE SCIENCES 1	LIFE SCIENCES 1	15
LIFE SCIENCES 1	MEDICAL RADIATION SCIENCES	1
LIFE SCIENCES 1	SOCIAL SCIENCES 1	2
LIFE SCIENCES 1	ENGINEERING 1	5
LIFE SCIENCES 1	ENGINEERING 1 CO-OP	1
LIFE SCIENCES 1	ECONOMICS	1
LIFE SCIENCES 1	HUMANITIES	2
LIFE SCIENCES 1	LIFE SCIENCES	65
LIFE SCIENCES 1	MATHEMATICAL SCIENCE	3
LIFE SCIENCES 1	SCIENCE	25
LIFE SCIENCES 1	HONOURS ANTHROPOLOGY	1
LIFE SCIENCES 1	HONOURS ART HISTORY	1
LIFE SCIENCES 1	HONOURS BIOCHEMISTRY (ORIGINS RESEARCH SPECIALIZATION)	1
LIFE SCIENCES 1	HONOURS BIOCHEMISTRY	79
LIFE SCIENCES 1	HONOURS BIOCHEMISTRY - BIOMEDICAL RESEARCH SPECIALIZATION	29
LIFE SCIENCES 1	HONOURS BIOLOGY & ENVIRONMENTAL SCIENCES	1
LIFE SCIENCES 1	HONOURS BIOLOGY & MATHEMATICS	1
LIFE SCIENCES 1	HONOURS BIOLOGY (ORIGINS RESEARCH SPECIALIZATION)	2
LIFE SCIENCES 1	HONOURS BIOLOGY (PHYSIOLOGY SPECIALIZATION)	17
LIFE SCIENCES 1	HONOURS BIOLOGY & PSYCHOLOGY	34
LIFE SCIENCES 1	HONOURS BIOLOGY	34
LIFE SCIENCES 1	HONOURS MOLECULAR BIOLOGY & GENETICS	31
LIFE SCIENCES 1	HONOURS CHEMISTRY	12
LIFE SCIENCES 1	HONOURS CHEMICAL BIOLOGY	35
LIFE SCIENCES 1	COMMERCE	4
LIFE SCIENCES 1	HONOURS ECONOMICS	2
LIFE SCIENCES 1	HONOURS ECONOMICS & POLITICAL SCIENCE	1
LIFE SCIENCES 1	HONOURS ENGLISH	1
LIFE SCIENCES 1	HONOURS ENGLISH & HISTORY	1
LIFE SCIENCES 1	HONOURS ENVIRONMENTAL SCIENCES	2
LIFE SCIENCES 1	HONOURS EARTH & ENVIRONMENTAL SCIENCES	1
LIFE SCIENCES 1	HONOURS GEOGRAPHY & ENVIRONMENTAL SCIENCES	1
LIFE SCIENCES 1	HONOURS GEOGRAPHY & ENVIRONMENTAL STUDIES	1
LIFE SCIENCES 1	HONOURS BACHELOR OF HEALTH SCIENCES	18
LIFE SCIENCES 1	HONOURS HISTORY	1
LIFE SCIENCES 1	JUSTICE, POLITICAL PHILOSOPHY AND LAW	1
LIFE SCIENCES 1	HONOURS ACTUARIAL AND FINANCIAL MATHEMATICS	5
LIFE SCIENCES 1	HONOURS MATHEMATICS & PHYSICS	1
LIFE SCIENCES 1	HONOURS PHYSICS	2
LIFE SCIENCES 1	HONOURS PHYSICS (BIOPHYSICS SPECIALIZATION)	3
LIFE SCIENCES 1	HONOURS MEDICAL & HEALTH PHYSICS	4
LIFE SCIENCES 1	HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR	46
LIFE SCIENCES 1	HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR (B.Sc.) - MENTAL HEALTH SPECIALIZATION	11
LIFE SCIENCES 1	HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR-MUSIC COGNITION	5
LIFE SCIENCES 1	HON PSYCHOLOGY-NEUROSCI & BEHAVIOUR (ORIGINS RESEARCH SPEC)	1
LIFE SCIENCES 1	HONOURS LIFE SCIENCES	243
LIFE SCIENCES 1	HONOURS LIFE SCIENCE (ORIGINS RESEARCH SPECIALIZATION)	5
LIFE SCIENCES 1	HONOURS KINESIOLOGY	1
LIFE SCIENCES 1	CHEMICAL ENGINEERING & BIOENGINEERING	1
LIFE SCIENCES 1	COMPUTER ENGINEERING CO-OP	1
LIFE SCIENCES 1	HONOURS COMPUTER SCIENCE CO-OP	1
LIFE SCIENCES 1	ENGINEERING PHYSICS CO-OP	1
MATHEMATICS & STATISTICS 1	NULL	11
MATHEMATICS & STATISTICS 1	MATHEMATICS & STATISTICS 1	5
MATHEMATICS & STATISTICS 1	SOCIAL SCIENCES 1	1
MATHEMATICS & STATISTICS 1	ECONOMICS	1
MATHEMATICS & STATISTICS 1	LIFE SCIENCES	2
MATHEMATICS & STATISTICS 1	MATHEMATICAL SCIENCE	11
MATHEMATICS & STATISTICS 1	PHILOSOPHY	1
MATHEMATICS & STATISTICS 1	PSYCHOLOGY	2
MATHEMATICS & STATISTICS 1	SCIENCE	8
MATHEMATICS & STATISTICS 1	HONOURS ECONOMICS	4
MATHEMATICS & STATISTICS 1	HONOURS GEOGRAPHY	1
MATHEMATICS & STATISTICS 1	HONOURS ACTUARIAL AND FINANCIAL MATHEMATICS	31
MATHEMATICS & STATISTICS 1	HONOURS MATHEMATICS & COMPUTER SCIENCE	4
MATHEMATICS & STATISTICS 1	HONOURS MATHEMATICS & STATISTICS (ORIGINS RESEARCH SPEC)	1
MATHEMATICS & STATISTICS 1	HONOURS MATHEMATICS & PHYSICS	2
MATHEMATICS & STATISTICS 1	HONOURS MATHEMATICS & STATISTICS	7
MATHEMATICS & STATISTICS 1	HONOURS MATHEMATICS & STATISTICS(MATHEMATICS SPECIALIZATION)	3
MATHEMATICS & STATISTICS 1	HONOURS MATHEMATICS & STATISTICS(STATISTICS SPECIALIZATION)	2
MATHEMATICS & STATISTICS 1	HONOURS LABOUR STUDIES	1
MATHEMATICS & STATISTICS 1	CHEMICAL ENGINEERING CO-OP	1
MEDICAL RADIATION SCIENCES	NULL	10
MEDICAL RADIATION SCIENCES	HONOURS KINESIOLOGY 1	1
MEDICAL RADIATION SCIENCES	MEDICAL RADIATION SCIENCES	2
MEDICAL RADIATION SCIENCES	HUMANITIES 1	1
MEDICAL RADIATION SCIENCES	LIFE SCIENCES	1
MEDICAL RADIATION SCIENCES	MATHEMATICAL SCIENCE	1
MEDICAL RADIATION SCIENCES	MEDICAL RADIATION SCIENCES - RADIOGRAPHY SPECIALIZATION	48
MEDICAL RADIATION SCIENCES	MEDICAL RADIATION SCIENCES - ULTRASONOGRAPHY SPECIALIZATION	36
MEDICAL RADIATION SCIENCES	MEDICAL RADIATION SCIENCES -RADIATION THERAPY SPECIALIZATION	24
MEDICAL RADIATION SCIENCES	SCIENCE	9
MEDICAL RADIATION SCIENCES	HONOURS BIOCHEMISTRY	1
MEDICAL RADIATION SCIENCES	COMMERCE	1
MEDICAL RADIATION SCIENCES	HONOURS MEDICAL & HEALTH PHYSICS	1
MUSIC 1	NULL	4
MUSIC 1	MUSIC 1	1
MUSIC 1	MUSIC	2
MUSIC 1	HONOURS ENGLISH	1
MUSIC 1	HONOURS GERONTOLOGY	1
MUSIC 1	HONOURS MUSIC	19
MUSIC 1	HONOURS MUSIC (MUSIC COGNITION)	3
PHYSICAL SCIENCES 1	NULL	14
PHYSICAL SCIENCES 1	PHYSICAL SCIENCES 1	5
PHYSICAL SCIENCES 1	HUMANITIES 1	2
